kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
item,PhD Theses,"Ph.D. 2002-2006 Dr. Minh Ha Nguyen [Thesis] Cooperative coevolutionary mixture of experts : a neuro ensemble approach for automatic decomposition of classification problems. Principal Supervisor: Hussein Abbass, Co Supervisor: Bob McKay",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3255&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Minh%20Ha%20Nguyen&sortby=rank&offset=0",Open thesis,Team,PhD Theses,76,list
item,PhD Theses,"Ph.D. 2001- 2005 A/Prof. Hoai Nguyen Xuan [Thesis] A Flexible Representation for Genetic Programming: Lessons from Natural Language Processing. Principal Supervisor: Bob Mckay, Co Supervisor: Daryl Essam and Hussein Abbass",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3257&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Hoai%20Nguyen%20Xuan&sortby=rank&offset=0",Open thesis,Team,PhD Theses,78,list
item,PhD Theses,"Ph.D. 2001- 2005 Dr. Yin Shan [Thesis] Program Distribution Estimation with Grammar Models. Principal Supervisor: Bob Mckay, Co Supervisor: Daryl Essam and Hussein Abbass",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3272&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Yin%20Shan&sortby=rank&offset=0",Open thesis,Team,PhD Theses,80,list
item,PhD Theses,"Ph.D. 2001-2004 Dr. Paula Lennon, UNE. DNA costing. Principal Supervisor: Brian Kinghorn (UNE), Co Supervisor: Gerard Davis (UNE) and Hussein Abbass",,,,PhD Theses,,,,Team,PhD Theses,82,list
item,DIT Theses,Part-time DIT 2008-2014 Dr. Peter Hoek[Thesis] Visual Encoding Approaches for Temporal Social Networks. Principal Supervisor: Hussein Abbass Co Supervisor: Michael Frater and Mike Sweeney (DSTO),,,,DIT Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_12170&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Peter%20Hoek&sortby=rank&offset=0",Open thesis,Team,DIT Theses,84,list
item,DIT Theses,DIT 2001-2003 A/Prof. Jason Teo [Thesis]Pareto Multiobjective Evolution of Legged Embodied Organisms. Principal Supervisor: Hussein Abbass,,,,DIT Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3283&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Jason%20Teo&sortby=rank&offset=0",Open thesis,Team,DIT Theses,86,list
item,MSc Theses,"FT M.Sc. S1/2019-S2/2021 Nathan Long Multi-Vessel Sea State Estimation Using Artificial Neural Networks and Vessel Response Spectral Data. Principal Supervisor with Matthew Garratt Joint Supervisor, Sammut Karl and Daniel Sgarioto Co-supervisors",,,,MSc Theses,,,,Team,MSc Theses,89,list
item,MSc Theses,"M.Sc. S1/2016-S2/2017 Duy Tung Nguyen K-Liner Reinforcement Learning For Context-Aware Bots. Principal Supervisor with Kathryn Merrick, Co-supervisor",,,,MSc Theses,,,,Team,MSc Theses,90,list
item,MSc Theses,"M.Sc. S1/2016--S2/2017 Hung The Nguyen Apprenticeship Bootstrapping: Multi-Skill Reinforcement Learning for Autonomous Unmanned Aerial Vehicles. Principal Supervisor with Matthew Garratt and Lam Bui, Co-supervisors",,,,MSc Theses,,,,Team,MSc Theses,91,list
item,MSc Theses,"M.Sc. 2016-2017 Zhaoyang Yang [Thesis] Deep Reinforcement Learning for Continuous Action Control. Principal Supervisor: Kathryn Kasmarick, Hussein Abbass Co-Supervisor",,,,MSc Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_48339&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Hussein%20Abbass&sortby=rank&offset=0",Open thesis,Team,MSc Theses,92,list
item,MSc Theses,M.Sc. 2015-2017 Marwa Hassan [Thesis] Hidden-Markov-Based Self-adaptive Differential Evolution. Principal Supervisor: Hussein Abbass Co-Supervisors: Hemant Singh,,,,MSc Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_48159&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Marwa%20Hassan&sortby=rank&offset=0",Open thesis,Team,MSc Theses,94,list
item,MSc Theses,"M.Sc. 2013-2015 Rubai Amin [Thesis] Simulation Fidelity, Abstraction and Resolution in Real-Time Multi-objective Optimization of Air Traffic Complexity. Principal Supervisor: Hussein Abbass Co Supervisor: Jiangjun Tang",,,,MSc Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_39764&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Rubai%20Amin&sortby=rank&offset=0",Open thesis,Team,MSc Theses,96,list
item,MSc Theses,"MSc. 2008-2010 Murad Hossain [Thesis] Identification of Hard Instances and Backbones in 3-SAT using Network Theory and Network Guided Decomposition. Principal Supervisor: Hussein Abbass, Co Supervisor: Chris Lokan",,,,MSc Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10111&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Murad%20Hossain&sortby=rank&offset=0",Open thesis,Team,MSc Theses,98,list
item,MSc Theses,M.Sc. 2006-2008 Dr. Ayman Ghoneim [Thesis] Local-global coupling in strategy games: extracting signatures and unfolding dynamics. Principal Supervisor: Michael Barlow Co Supervisor: Hussein Abbass,,,,MSc Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_3223&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Ayman%20Ghoneim&sortby=rank&offset=0",Open thesis,Team,MSc Theses,100,list
item,CDF Honour Theses [incomplete],"CDF Program EE Honor Thesis 2009 Leon Purton ADS-B Aircraft Trajectory Tracking in the Presence of Spoofing. Principal Supervisor: Hussein Abbass, Co Supervisor: Sameer Alam",,,,CDF Honour Theses [incomplete],,,,Team,CDF Honour Theses [incomplete],103,list
item,Alumni Research Fellows,"Dr. Essam Debie, Research Fellow, Contextually-aware Swarm Guidance, 2017-2021. Works for UNSW Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,105,list
